#Type	Kind	Base	Namespace	Path	Gate	Summary
DestructibleBehaviourSO	class	ScriptableObject	SombraStudios.Shared.Gameplay.Behaviours.Destructible	Gameplay/Behaviours/Destructible/DestructibleBehaviourSO.cs	-	-
DevelopmentBuildConditionSO	class	ConditionSO	SombraStudios.Shared.ScriptableObjects.Conditions	ScriptableObjects/Conditions/DevelopmentBuildConditionSO.cs	-	Represents a condition that evaluates whether the application is running in a development build
Direction	enum	-	SombraStudios.Shared.Extensions	Extensions/Direction.cs	-	A single direction along one of a transform's local axes
Direction	enum	-	SombraStudios.Shared.Utility	Utility/DotProductValidator.cs	-	Enumeration of possible Vector3 directions
Direction	enum	-	StyleSheet	CodeStyle.cs	-	-
DontDestroyOnLoad	class	MonoBehaviour	SombraStudios.Shared.Utility.DontDestroy	Utility/DontDestroy/DontDestroyOnLoad.cs	-	MonoBehaviour to preserve objects on scene loads
DotProductValidator	class	MonoBehaviour	SombraStudios.Shared.Utility	Utility/DotProductValidator.cs	-	Validator for two tranforms considering desired Direction for Dot Product operation
DoTweenTester	class	MonoBehaviour	SombraStudios.Shared.Editor	Editor/DoTweenTester.cs	DOTWEEN	Implement abstract method to be able to test the Tween on Editor
DoTweenTesterEditor	class	Editor	SombraStudios.Shared.Editor	Editor/DoTweenTesterEditor.cs	DOTWEEN	Editor script to preview and test a Tween
Drag	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Drag	Gameplay/Drag/Drag.cs	-	Class to drag and drop and object with the mouse over the Z axis
DragMe	class	MonoBehaviour	SombraStudios.Shared.UI.ImageDrag	UI/ImageDrag/DragMe.cs	-	-
DragPanel	class	MonoBehaviour	SombraStudios.Shared.UI.PanelDragAndResize	UI/PanelDragAndResize/DragPanel.cs	-	-
DragRigidbody	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Drag	Gameplay/Drag/DragRigidbody.cs	-	Class to drag and drop and object with the mouse over the Camera Z axis
DragRigidbody2D	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Drag	Gameplay/Drag/DragRigidbody2D.cs	-	Class to drag and drop and object, affected by physics, with the mouse over the Z axis
DragThrow	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Drag	Gameplay/Drag/DragThrow.cs	-	Class to drag and throw and object with the mouse over the Z Camera axis
