#Type	Kind	Base	Namespace	Path	Gate	Summary
ICondition<inT>	interface	-	SombraStudios.Shared.Interfaces	Interfaces/ICondition.cs	-	Defines an interface for checking conditions based on the provided data
ICooldown	interface	-	SombraStudios.Shared.Utility.Cooldown	Utility/Cooldown/ICooldown.cs	-	-
IDamageable	interface	-	SombraStudios.Shared.Systems.Damage	Systems/Damage/IDamageable.cs	-	-
IDamageable	interface	-	StyleSheet	CodeStyle.cs	-	-
IDamageable<T>	interface	-	StyleSheet	CodeStyle.cs	-	-
IDamageStrategy	interface	IStrategy	SombraStudios.Shared.Examples.Patterns.Behavioural.Strategy	Examples/Patterns/Behavioural/Strategy/DamageStrategy.cs	-	The Strategy interface is common to all concrete strategies
IDescribable	interface	-	SombraStudios.Shared.Interfaces	Interfaces/IDescribable.cs	-	Interface for objects that can provide a description
IEnumerableExtensions	class	-	SombraStudios.Shared.Extensions	Extensions/IEnumerableExtensions.cs	-	Provides extension methods for working with IEnumerable{T} collections
IEnumeratorCoroutineExample	class	MonoBehaviour	SombraStudios.Shared.Examples	Examples/IEnumeratorCoroutineExample.cs	-	IEnumerator Coroutines examples Coroutine Documentation: https://docs.unity3d.com/Manual/Coroutines.html Coroutine Script Documentation:...
IEvent	interface	-	SombraStudios.Shared.Patterns.Behavioural.Observer.EventBus	Patterns/Behavioural/Observer/EventBus/IEvent.cs	-	Represents a generic event in the event bus system
IEventBinding<T>	interface	-	SombraStudios.Shared.Patterns.Behavioural.Observer.EventBus	Patterns/Behavioural/Observer/EventBus/IEventBinding.cs	-	Interface for event bindings in the event bus system
IGizmo	interface	-	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmo.cs	-	Defines the interface for drawing a Gizmo in Unity with a Editor script
IGizmoCube	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoCube.cs	-	Defines the interface for a Gizmo that represents a cube in Unity
IGizmoFrustum	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoFrustum.cs	-	Defines the interface for a Gizmo that represents a frustum in Unity
IGizmoGrid	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoGrid.cs	-	Defines the interface for a Gizmo that represents a grid in Unity
IGizmoGUITexture	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoGUITexture.cs	-	Defines the interface for a Gizmo that represents a GUI texture in Unity
IGizmoIcon	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoIcon.cs	-	Defines the interface for a Gizmo that represents an icon in Unity
IGizmoLine	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoLine.cs	-	Defines the interface for a Gizmo that represents a line in Unity
IGizmoMesh	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoMesh.cs	-	Defines the interface for a Gizmo that represents a mesh in Unity
IGizmoRay	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoRay.cs	-	Defines the interface for a Gizmo that represents a ray in Unity
IGizmoSphere	interface	IGizmo	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Interfaces/IGizmoSphere.cs	-	Defines the interface for a Gizmo that represents a sphere in Unity
IHealable	interface	-	SombraStudios.Shared.Systems.Heal	Systems/Heal/IHealable.cs	-	-
IIdentifiable	interface	-	SombraStudios.Shared.ScriptableObjects	ScriptableObjects/IIdentifiable.cs	-	Interface for objects that can be identified by a unique identifier
IKeychain	interface	-	SombraStudios.Shared.XR.KeyLockSystem	XR/KeyLockSystem/IKeychain.cs	-	Interface to implement for objects that hold a set of Key s
ILightningPhone	interface	-	SombraStudios.Shared.Examples.Patterns.Structural.Adapter.Object	Examples/Patterns/Structural/Adapter/Object/ILightningPhone.cs	-	-
ILoggerService	interface	-	SombraStudios.Shared.Utility.Loggers	Utility/Loggers/ILoggerService.cs	-	-
ImageCarousel	class	MonoBehaviour	SombraStudios.Shared.UI	UI/ImageCarousel.cs	REQUIRES_EXTERNAL_PACKAGE	Image Carousel Class behaviour
IMaterialProperty<T>	interface	-	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/IMaterialProperty.cs	-	Interface for defining and manipulating material shader properties
IMPBProperty<T>	interface	-	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/IMPBProperty.cs	-	Interface for Material Property Block properties
InjectFieldAttribute	class	Attribute	SombraStudios.Shared.Patterns.InversionOfControl.DependencyInjection	Patterns/InversionOfControl/DependencyInjection/InjectFieldAttribute.cs	-	The choice is the attribute based one, because you can use it with both plain classes and MonoBehaviours
InputfieldSlideScreen	class	MonoBehaviour	SombraStudios.Shared.UI.Mobile	UI/Mobile/InputfieldSlideScreen.cs	UNITY_IOS || UNITY_ANDROID	When the Touch Keyboard is active and the assigned input field is focused, the assigned rect transform will adjust Y position to be on to...
InputManager	class	Singleton	SombraStudios.Shared.Inputs.Manager	Inputs/InputManager.cs	-	Manages input actions and maps, enabling and disabling them as needed
InteractHandler	class	MonoBehaviour	SombraStudios.Shared.UI	UI/InteractHandler.cs	REQUIRES_EXTERNAL_PACKAGE	-
InterstitialAdExample	class	MonoBehaviour	SombraStudios.Shared.Services.Advertisement	Services/Advertisement/InterstitialAdExample.cs	UNITY_ADVERTISEMENTS	Class for Interstitial advertisement
IntervalTimer	class	Timer	SombraStudios.Shared.Utility.Timers.Core	Utility/Timers/Core/IntervalTimer.cs	-	Countdown timer that triggers events at specified intervals until completion
IntEventChannelListener	class	GenericEventChannelListener	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Implementations/IntEventChannelListener.cs	-	A listener class for integer event channels
IntEventChannelListListener	class	GenericEventChannelListListener	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Implementations/IntEventChannelListListener.cs	-	A listener class for integer event channels
IntEventChannelSO	class	GenericEventChannelSO	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/EventChannels/IntEventChannelSO.cs	-	ScriptableObject event channel for events with an integer parameter
IntEventChannelSOEditor	class	GenericEventChannelSOEditor	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects.Editor	Patterns/Behavioural/Observer/ScriptableObjects/Editor/IntEventChannelSOEditor.cs	-	This event channel broadcasts and carries Integer payload
IntResource	class	Resource	SombraStudios.Shared.Systems.Resource	Systems/Resource/Implementations/IntResource.cs	-	Serializable class representing an int resource
IntResourceSystemData	class	ResourceSystemDataSO	SombraStudios.Shared.Systems.Resource	Systems/Resource/Implementations/IntResourceSystemData.cs	-	ScriptableObject class to hold int resource system data
IntStat	class	Stat	SombraStudios.Shared.Systems.Stats	Systems/Stats/StatTypes/IntStat.cs	-	Represents an integer stat
InventoryDisplay	class	MonoBehaviour	SombraStudios.Shared.UI.InventorySystem	UI/InventorySystem/InventoryDisplay.cs	-	Example script to filter and display items in a UI Inventory System
InventoryItemButton	class	MonoBehaviour	SombraStudios.Shared.UI.InventorySystem	UI/InventorySystem/InventoryItemButton.cs	-	Example script to use as an item in a UI inventory System
IObservableRuntimeSetItem<T>	interface	-	SombraStudios.Shared.ScriptableObjects.RuntimeSets	ScriptableObjects/RuntimeSets/IObservableRuntimeSetItem.cs	-	Interface for items that can be added to or removed from an observable runtime set
IProduct	interface	-	SombraStudios.Shared.Patterns.Creational.FactoryMethod	Patterns/Creational/FactoryMethod/IProduct.cs	-	Interface for product objects created by the factory method
IRuntimeSetItem<T>	interface	-	SombraStudios.Shared.ScriptableObjects.RuntimeSets	ScriptableObjects/RuntimeSets/IRuntimeSetItem.cs	-	Interface for items that can be added to or removed from a runtime set
ISingleReference<T>	interface	-	SombraStudios.Shared.ScriptableObjects.RuntimeSets	ScriptableObjects/RuntimeSets/ISingleReference.cs	-	Interface for objects that hold a single reference of type T
IStat<T>	interface	IBaseStat	SombraStudios.Shared.Systems.Stats	Systems/Stats/StatInterfaces/IStat.cs	-	Represents a stat with a base value and a potentially modified value
IState	interface	-	SombraStudios.Shared.Patterns.Behavioural.FiniteStateMachine	Patterns/Behavioural/FiniteStateMachine/IState.cs	-	Interface for a state in a state machine
IStrategy	interface	-	SombraStudios.Shared.Patterns.Behavioural.Strategy	Patterns/Behavioural/Strategy/IStrategy.cs	-	Defines a non-generic strategy pattern interface for executing actions
IStrategy<T>	interface	-	SombraStudios.Shared.Patterns.Behavioural.Strategy	Patterns/Behavioural/Strategy/IStrategy.cs	-	Defines a strategy pattern interface for executing actions based on the provided data
ITeleportable	interface	-	SombraStudios.Shared.Systems.Teleport	Systems/Teleport/ITeleportable.cs	-	Interface for creating a teleportable object
ItemSO	class	ScriptableObject	SombraStudios.Shared.Systems.LootBox	Systems/LootBox/ItemSO.cs	-	-
ITransition	interface	-	SombraStudios.Shared.Patterns.Behavioural.FiniteStateMachine	Patterns/Behavioural/FiniteStateMachine/ITransition.cs	-	Interface for a transition between states in a state machine
IUsbPhone	interface	-	SombraStudios.Shared.Examples.Patterns.Structural.Adapter.Object	Examples/Patterns/Structural/Adapter/Object/IUsbPhone.cs	-	-
IVisitable	interface	-	SombraStudios.Shared.Patterns.Behavioural.Visitor	Patterns/Behavioural/Visitor/IVisitable.cs	-	Interface for elements that can be visited by a visitor
IVisitor	interface	-	SombraStudios.Shared.Patterns.Behavioural.Visitor	Patterns/Behavioural/Visitor/IVisitor.cs	-	Interface for visitors that can visit visitable elements
Joke	class	-	SombraStudios.Shared.Services.WebAPI	Services/WebAPI/Joke.cs	-	Example class to serealize a web response
Jump	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Movement2D	Gameplay/Movement2D/Jump.cs	-	Jump script with ground check
Keychain	class	MonoBehaviour	SombraStudios.Shared.XR.KeyLockSystem	XR/KeyLockSystem/Keychain.cs	-	A generic Keychain component that holds the KeySOs to open a Lock
KeySO	class	ScriptableObject	SombraStudios.Shared.XR.KeyLockSystem	XR/KeyLockSystem/KeySO.cs	-	An asset that represents a key
LambdaExample	class	MonoBehaviour	SombraStudios.Shared.Examples.Delegates	Examples/Delegates/LambdaExample.cs	-	Lambda expresion with delegates
LazyReference<T>	class	Object	SombraStudios.Shared.Patterns.Creational.LazyInitialization	Patterns/Creational/LazyInitialization/LazyReference.cs	-	A generic class for lazy initialization of UnityEngine.Object types
LazyService<T>	class	Object	SombraStudios.Shared.Patterns.Creational.LazyInitialization	Patterns/Creational/LazyInitialization/LazyService.cs	-	Provides a lazy initialization mechanism for UnityEngine.Object types
LerpColor	class	MonoBehaviour	SombraStudios.Shared.VFX	VFX/LerpColor.cs	-	Interpolate between an initial and a final color of the material
LerpColorData	struct	-	SombraStudios.Shared.Utility.Lerp	Utility/Lerp/LerpTool.cs	-	Data structure for Lerp operations on Color values
LerpQuaternionData	struct	-	SombraStudios.Shared.Utility.Lerp	Utility/Lerp/LerpTool.cs	-	Data structure for Lerp operations on Quaternion values
LerpTool	class	-	SombraStudios.Shared.Utility.Lerp	Utility/Lerp/LerpTool.cs	-	Utility class for performing various types of Lerp operations
LerpValueData	struct	-	SombraStudios.Shared.Utility.Lerp	Utility/Lerp/LerpTool.cs	-	Data structure for Lerp operations on float values
LerpVector2Data	struct	-	SombraStudios.Shared.Utility.Lerp	Utility/Lerp/LerpTool.cs	-	Data structure for Lerp operations on Vector2 values
LerpVector3Data	struct	-	SombraStudios.Shared.Utility.Lerp	Utility/Lerp/LerpTool.cs	-	Data structure for Lerp operations on Vector3 values
LightningToUsbAdapter	class	IUsbPhone	SombraStudios.Shared.Examples.Patterns.Structural.Adapter.Object	Examples/Patterns/Structural/Adapter/Object/LightningToUsbAdapter.cs	-	-
LineOfSight	class	-	SombraStudios.Shared.AI	AI/IsInSightData.cs	-	-
LineOfSight	class	-	SombraStudios.Shared.AI	AI/LineOfSight.cs	-	Field of view and obstruction checks between two transforms
LineOfSight.IsInSightData	struct	-	SombraStudios.Shared.AI	AI/IsInSightData.cs	-	Represents the data for a sight check
LineOfSightTests	class	-	SombraStudios.Shared.Tests.AI	Tests/EditMode/AI/LineOfSightTests.cs	-	-
LinePositionsUpdater	class	MonoBehaviour	SombraStudios.Shared.VFX	VFX/LinePositionsUpdater.cs	-	Line Renderer positioner that use World Position to update the line positions
Listener	class	MonoBehaviour	SombraStudios.Shared.Examples.Patterns.Behavioural.Observer	Examples/Patterns/Behavioural/Observer/Listener.cs	-	Listen to Observer event
ListenEventActionSO	class	EventActionSO	SombraStudios.Shared.Systems.Events	Systems/Events/EventActions/ListenEventActionSO.cs	-	-
ListExtensions	class	-	SombraStudios.Shared.Extensions	Extensions/ListExtensions.cs	-	Extension methods for IList{T} collections
LoadingBarController	class	MonoBehaviour	SombraStudios.Shared.Utility	Utility/LoadingBarController.cs	REQUIRES_EXTERNAL_PACKAGE	Complete the loading bar and text depending of the amount of checkpoints invoked
LoadNextSceneStrategy	class	SceneStrategy	SombraStudios.Shared.Scenes.Strategies	Scenes/Strategies/LoadNextSceneStrategy.cs	-	Strategy for loading the next scene in the build index
LoadSceneByIndexStrategy	class	SceneStrategy	SombraStudios.Shared.Scenes.Strategies	Scenes/Strategies/LoadSceneByIndexStrategy.cs	-	Strategy for asynchronously or synchronously loading a scene by its build index, with optional parameters
LoadSceneByPathStrategy	class	SceneStrategy	SombraStudios.Shared.Scenes.Strategies	Scenes/Strategies/LoadSceneByPathStrategy.cs	-	Strategy for asynchronously or synchronously loading a scene by its scene path, with optional parameters
Lock	class	-	SombraStudios.Shared.XR.KeyLockSystem	XR/KeyLockSystem/Lock.cs	-	Use this object as a generic way to validate if an object can perform some action
Logger	class	-	SombraStudios.Shared.Utility.Loggers	Utility/Loggers/Logger.cs	-	A utility class for logging messages in Unity with support for categories and colors
LookAtController	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Behaviours.LookAt	Gameplay/Behaviours/LookAt/LookAtController.cs	-	Controller to handle the "Look At" functionality on an object
LookAtSO	class	ScriptableObject	SombraStudios.Shared.Gameplay.Behaviours.LookAt	Gameplay/Behaviours/LookAt/LookAtSO.cs	-	ScriptableObject to store settings for the "Look At" functionality
LookWithLerpController	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Behaviours.LookWithLerp	Gameplay/Behaviours/LookWithLerp/LookWithLerpController.cs	-	Controller to handle the look to a rotation with lerp functionality on an object
LookWithLerpSO	class	ScriptableObject	SombraStudios.Shared.Gameplay.Behaviours.LookWithLerp	Gameplay/Behaviours/LookWithLerp/LookWithLerpSO.cs	-	ScriptableObject to store settings for the "Look With Lerp" functionality
LootBox	class	MonoBehaviour	SombraStudios.Shared.Systems.LootBox	Systems/LootBox/LootBox.cs	-	-
LootBox2D	class	LootBox	SombraStudios.Shared.Systems.LootBox	Systems/LootBox/LootBox2D.cs	-	-
LootBox3D	class	LootBox	SombraStudios.Shared.Systems.LootBox	Systems/LootBox/LootBox3D.cs	-	-
MaterialCopyPropertiesFromMaterialVFXSO	class	MaterialVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialCopyPropertiesFromMaterialVFXSO.cs	-	This SO copies property values (both serialized and set at runtime), as well as shader keywords, render queue and global illumination fla...
MaterialDisableKeywordVFXSO	class	MaterialVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialDisableKeywordVFXSO.cs	-	ScriptableObject for disabling a specific shader keyword in materials
MaterialEnableKeywordVFXSO	class	MaterialVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialEnableKeywordVFXSO.cs	-	ScriptableObject for enabling a specific shader keyword in materials
MaterialHandler	class	MonoBehaviour	SombraStudios.Shared.VFX	VFX/MaterialHandler.cs	-	Utils script for adding and removing materials from a Renderer
MaterialPropertyBlockClearVFXO	class	MaterialPropertyBlockVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MaterialPropertyBlockClearVFXO.cs	-	ScriptableObject for clearing MaterialPropertyBlock values
MaterialPropertyBlockPropertyVFXSO<T>	class	MaterialPropertyBlockVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MaterialPropertyBlockVFXSO.cs	-	Abstract base class for VFX properties that use MaterialPropertyBlock and have a specific property name and value
MaterialPropertyBlockVFXSO<T>	class	VFXPropertySO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MaterialPropertyBlockVFXSO.cs	-	Abstract base class for VFX properties that use MaterialPropertyBlock
MaterialPropertyVFXSO<T>	class	MaterialVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialVFXSO.cs	-	-
MaterialsAssetSearchWindow	class	AssetSearchWindow	SombraStudios.Shared.Tools.Search.AssetOrComponent	Tools/Search/AssetOrComponent/MaterialAssetSearchWindow.cs	-	Custom Editor window to search for Material assets
MaterialSetColorArrayVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetColorArrayVFXSO.cs	-	ScriptableObject for setting a color array property in a material
MaterialSetColorVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetColorVFXSO.cs	-	ScriptableObject for setting a color property in a material
MaterialSetFloatArrayVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetFloatArrayVFXSO.cs	-	ScriptableObject for setting a float array property in a material
MaterialSetFloatVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetFloatVFXSO.cs	-	ScriptableObject for setting a float property in a material
MaterialSetIntegerVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetIntegerVFXSO.cs	-	ScriptableObject for setting a integer property in a material
MaterialSetMatrixArrayVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetMatrixArrayVFXSO.cs	-	ScriptableObject for setting a matrix array property in a material
MaterialSetMatrixVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetMatrixVFXSO.cs	-	ScriptableObject for setting a matrix property in a material
MaterialSetRenderQueueVFXSO	class	MaterialVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetRenderQueueVFXSO.cs	-	ScriptableObject for setting the render queue of materials
MaterialSetShaderVFXSO	class	MaterialVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetShaderVFXSO.cs	-	ScriptableObject for setting a shader on materials
MaterialSetTextureVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetTextureVFXSO.cs	-	ScriptableObject for setting a texture property in a material
MaterialSetVectorArrayVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetVectorArrayVFXSO.cs	-	ScriptableObject for setting a vector array property in a material
MaterialSetVectorVFXSO	class	MaterialPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialSetVectorVFXSO.cs	-	ScriptableObject for setting a vector property in a material
MaterialVFXSO<T>	class	VFXPropertySO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/Material/MaterialVFXSO.cs	-	-
MergeScenesStrategy	class	SceneStrategy	SombraStudios.Shared.Scenes.Strategies	Scenes/Strategies/MergeScenesStrategy.cs	-	Strategy for merging the contents of a source scene into a destination scene
MirrorTransformPosition	class	MonoBehaviour	SombraStudios.Shared.Utility.Mirror	Utility/Mirror/MirrorTransformPosition.cs	-	This class mirrors the position of specified targets along a given axis
MirrorTransformRotation	class	MonoBehaviour	SombraStudios.Shared.Utility.Mirror	Utility/Mirror/MirrorTransformRotation.cs	-	This class mirrors the rotation of specified targets along a given axis
MirrorTransformScale	class	MonoBehaviour	SombraStudios.Shared.Utility.Mirror	Utility/Mirror/MirrorTransformScale.cs	-	This class mirrors the scale of specified targets along a given axis
ModifierOperationType	enum	-	SombraStudios.Shared.Systems.Stats	Systems/Stats/StatModifiers/ModifierOperationType.cs	-	Represents the type of operation a stat modifier performs
MonoBehaviourCountdownTimer	class	MonoBehaviourTimer	SombraStudios.Shared.Utility.Timers.Unity	Utility/Timers/Unity/MonoBehaviourCountdownTimer.cs	-	-
MonoBehaviourExtensions	class	-	SombraStudios.Shared.Extensions	Extensions/MonoBehaviourExtensions.cs	-	Extension methods for MonoBehaviour classes
MonoBehaviourFrequencyTimer	class	MonoBehaviourTimer	SombraStudios.Shared.Utility.Timers.Unity	Utility/Timers/Unity/MonoBehaviourFrequencyTimer.cs	-	-
MonoBehaviourIntervalTimer	class	MonoBehaviourTimer	SombraStudios.Shared.Utility.Timers.Unity	Utility/Timers/Unity/MonoBehaviourIntervalTimer.cs	-	-
MonoBehaviourLogger	class	MonoBehaviour	SombraStudios.Shared.Utility.Loggers	Utility/Loggers/MonoBehaviourLogger.cs	-	A MonoBehaviour-based logger service that logs messages to the Unity console with optional color-coded prefixes
MonoBehaviourStopwatchTimer	class	MonoBehaviourTimer	SombraStudios.Shared.Utility.Timers.Unity	Utility/Timers/Unity/MonoBehaviourStopwatchTimer.cs	-	-
MonoBehaviourTimer<T>	class	MonoBehaviour	SombraStudios.Shared.Utility.Timers.Unity	Utility/Timers/Unity/MonoBehaviourTimer.cs	-	-
MouseOverGUI	class	MonoBehaviour	SombraStudios.Shared.UI	UI/MouseOverGUI.cs	-	IsPointerOverGameObject function to check if mouse is over GUI
Move	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Movement2D	Gameplay/Movement2D/Move.cs	-	Move script with look at option
MovementCharacterController	class	MonoBehaviour	SombraStudios.Shared.Gameplay.PlayerMovement3D	Gameplay/PlayerMovement3D/MovementCharacterController.cs	-	Apply movement to a game object with keyboard input and Character Controller
MovementLerpCoroutine	class	MonoBehaviour	SombraStudios.Shared.Gameplay.PlayerMovement3D	Gameplay/PlayerMovement3D/MovementLerpCoroutine.cs	-	When receive a Target move the gameObject with lerp
MovementNavMeshAgent	class	MonoBehaviour	SombraStudios.Shared.Gameplay.PlayerMovement3D	Gameplay/PlayerMovement3D/MovementNavMeshAgent.cs	-	Apply movement to a game object with mouse input and NavMeshAgent
MovementRigidbody	class	MonoBehaviour	SombraStudios.Shared.Gameplay.PlayerMovement3D	Gameplay/PlayerMovement3D/MovementRigidbody.cs	-	Apply movement to a game object with keyboard input and Rigidbody Support Forces and MovePosition methods
MovementTransform	class	MonoBehaviour	SombraStudios.Shared.Gameplay.PlayerMovement3D	Gameplay/PlayerMovement3D/MovementTransform.cs	-	Apply movement to a game object with keyboard input and Transform position
MovementWithMouse	class	MonoBehaviour	SombraStudios.Shared.Gameplay.PlayerMovement3D	Gameplay/PlayerMovement3D/MovementWithMouse.cs	-	Send a position to a coroutine to move an object with lerp Object require MovementLerpCoroutine.cs script
MoveTowardsController	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Behaviours.MoveTowards	Gameplay/Behaviours/MoveTowards/MoveTowardsController.cs	-	Controller to handle the Move Towards functionality on an object
MoveTowardsSO	class	ScriptableObject	SombraStudios.Shared.Gameplay.Behaviours.MoveTowards	Gameplay/Behaviours/MoveTowards/MoveTowardsSO.cs	-	ScriptableObject to store settings for the Move Towards functionality
MPBSetColorVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetColorVFXSO.cs	-	ScriptableObject for setting a Color property in a MaterialPropertyBlock
MPBSetFloatArrayVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetFloatArrayVFXSO.cs	-	ScriptableObject for setting a Float Array property in a MaterialPropertyBlock
MPBSetFloatVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetFloatVFXSO.cs	-	ScriptableObject for setting a Float property in a MaterialPropertyBlock
MPBSetIntegerVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetIntegerVFXSO.cs	-	ScriptableObject for setting a Integer property in a MaterialPropertyBlock
MPBSetMatrixArrayVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetMatrixArrayVFXSO.cs	-	ScriptableObject for setting a Matrix Array property in a MaterialPropertyBlock
MPBSetMatrixVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetMatrixVFXSO.cs	-	ScriptableObject for setting a Matrix property in a MaterialPropertyBlock
MPBSetTextureVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetTextureVFXSO.cs	-	ScriptableObject for setting a Texture property in a MaterialPropertyBlock
MPBSetVectorArrayVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetVectorArrayVFXSO.cs	-	ScriptableObject for setting a Vector Array property in a MaterialPropertyBlock
MPBSetVectorVFXSO	class	MaterialPropertyBlockPropertyVFXSO	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/MaterialPropertyBlock/MPBSetVectorVFXSO.cs	-	ScriptableObject for setting a Vector property in a MaterialPropertyBlock
MultiStrategySO	class	StrategySO	SombraStudios.Shared.ScriptableObjects.Patterns.Behavioural.Strategy	ScriptableObjects/Patterns/Behavioural/Strategy/MultiStrategySO.cs	-	Represents a strategy that consists of multiple parameterless strategies to be executed sequentially
MultiStrategySO<T>	class	StrategySO	SombraStudios.Shared.ScriptableObjects.Patterns.Behavioural.Strategy	ScriptableObjects/Patterns/Behavioural/Strategy/MultiStrategySO.cs	-	Represents a strategy that consists of multiple strategies to be executed sequentially
MultiVisitorSO	class	VisitorSO	SombraStudios.Shared.Patterns.Behavioural.Visitor	Patterns/Behavioural/Visitor/MultiVisitorSO.cs	-	-
MultiVisitorSO<T>	class	VisitorSO	SombraStudios.Shared.Patterns.Behavioural.Visitor	Patterns/Behavioural/Visitor/MultiVisitorSO.cs	-	Generic ScriptableObject that allows multiple typed visitors to visit a visitable element of a specific type
NetworkCommandLine	class	MonoBehaviour	SombraStudios.Shared.Networking.Netcode	Networking/Netcode/NetworkCommandLine.cs	REQUIRES_EXTERNAL_PACKAGE	Class to launch our project outside Unity using command line
NetworkVariableExample	class	NetworkBehaviour	SombraStudios.Shared.Networking.Netcode	Networking/Netcode/NetworkVariableExample.cs	REQUIRES_EXTERNAL_PACKAGE	Example Class of a Network Variable of type Vector3 where the server directly modify the Variable
NoInternetController	class	Singleton	SombraStudios.Shared.Utility	Utility/NoInternetController.cs	!UNITY_WEBGL	-
